inn,revenue,net_profit,total_assets,total_liabilities,current_assets,current_liabilities,equity,region,industry,company_age,authorized_capital,is_bankrupt
0000000021,3294610.1715627424,-1240921.1143164092,4977182.992735106,4074444.156580072,1481308.7516028543,3253837.0956981885,902738.8361550337,Moscow,Trade,8,171352.44799389382,1
0000000022,2593188.976509924,-389022.5862746127,1882097.8989288462,1872565.8706667311,929131.2373365234,1300865.632712054,9532.028262115084,SPB,Construction,8,129916.33893947995,1
0000000023,2926829.0346691594,-670581.2198380394,1849501.547755632,1962739.2361066844,525686.9852215368,1000459.9786048891,-113237.68835105235,Novosibirsk,IT,1,18284.71663334241,1
0000000024,14338236.91893955,3250461.1674910723,33971540.781670064,19745235.80394835,16959445.55176727,9197913.125483036,14226304.977721713,Novosibirsk,Construction,5,981315.0045302433,0
0000000025,42631265.24008442,4833720.474451556,39379858.22065533,16646673.553207757,26811635.97197448,8469976.308528481,22733184.667447574,SPB,Manufacturing,10,116895.32430706671,0
0000000026,15116884.126737468,1731036.7119339812,39631549.44271462,10092115.90933263,24281192.14444409,4701371.757984546,29539433.533381987,Moscow_region,Manufacturing,12,818893.097704588,0
0000000027,4574878.707526709,-1000808.1547208608,5272903.182929684,5795698.823096445,2082739.700402207,4525204.853298286,-522795.6401667604,Novosibirsk,Manufacturing,14,179101.0149453376,1
0000000028,29124866.979310613,1665606.1376183457,48463634.34950169,20212139.3331751,23551502.88055874,9646243.05554103,28251495.01632659,SPB,Services,24,287738.79249007086,0
0000000029,26351041.372712817,5375578.463520369,27393292.74803317,12303867.011235254,11658701.527376309,3881925.6106216633,15089425.736797916,Moscow_region,IT,22,440786.2098038446,0
0000000030,48492074.92215087,9355043.612286832,29224660.211011738,10507094.174111756,15490712.959472006,5497446.088097542,18717566.036899984,Moscow,IT,7,225116.99061480153,0
0000000031,9078068.843506865,737932.6907838914,10218340.064595617,4288541.945923433,6277931.269915062,2135947.826569811,5929798.118672185,Ekaterinburg,Construction,23,656357.0641511829,0
0000000032,2156040.3058961704,-784255.2538368651,1951547.5448177583,2105569.639485644,398736.38218258036,1150544.4308733398,-154022.09466788592,Novosibirsk,Construction,5,27889.827771026423,1
0000000033,5342790.952224573,792459.7175200642,8995547.20876267,2422327.680721139,4769038.781200986,1016291.0189250966,6573219.52804153,Novosibirsk,Manufacturing,12,951688.4450118167,0
0000000034,1257574.7443740452,297651.9225232039,2204025.132026856,916325.6071742738,1333852.0539555396,444193.73979385354,1287699.524852582,Moscow,IT,18,660298.3142959998,0
0000000035,4707128.182982292,-863707.1947991832,4518319.973930577,4616114.984942554,1524823.9512518877,3315509.4273502897,-97795.01101197675,Moscow,Trade,5,128928.53731929883,1
0000000036,1112753.3633960523,-388708.540471525,739760.1090150911,657372.6865783941,156599.03310463458,491255.63006308844,82387.42243669694,Ekaterinburg,Manufacturing,7,23525.843207443508,1
0000000037,1769060.3903747762,-630878.795048122,2022502.4784181984,2116437.9687559996,615853.9894327511,1851162.0691590216,-93935.49033780117,Ekaterinburg,Construction,8,149663.4983227383,1
0000000038,9283257.41709628,1857792.86296519,23366765.15273257,13931313.444828017,12239168.167369645,5734204.201545659,9435451.707904553,Ekaterinburg,IT,9,601516.8117267144,0
0000000039,37668117.85567912,7567847.874420889,28545264.04045332,16014497.220749404,15744874.329758191,8774939.404439827,12530766.819703914,Moscow_region,Trade,24,332753.41578384535,0
0000000040,47947804.09571832,10521120.907611158,66516213.41000947,38760351.428384826,40111336.78165139,17238909.902427487,27755861.981624648,Ekaterinburg,Services,17,129120.19063549666,0
0000000041,2813144.9564944236,-1077433.5555010152,5368973.5774376225,5855660.429774464,1256551.2505493707,5108312.105726596,-486686.85233684164,SPB,Construction,10,20936.164403162416,1
0000000042,2774987.273808446,-310223.27503503324,5402090.771515195,5639863.824306678,2436824.6006358354,4775540.492755812,-237773.05279148277,Ekaterinburg,Manufacturing,6,25980.293161849513,1
0000000043,44648896.984450445,3541593.5654527163,79623066.55564843,23352747.044451196,45734822.59976149,13052820.783834562,56270319.51119724,Moscow,Construction,24,822159.5888946274,0
0000000044,1943671.9691014872,-882572.0832048458,3150983.3405455556,3085449.5824855696,1031211.6132581066,2661329.094872592,65533.758059985936,Ekaterinburg,Construction,7,92545.85045277156,1
0000000045,28787914.747648027,5705614.205008786,69608807.4391338,36831143.5544515,43384628.752290934,18574381.33802975,32777663.88468229,Moscow,Construction,19,128746.75560868651,0
0000000046,159556.92598010006,5334.523299411347,59574.06468391972,68246.35402778306,21346.002938728965,61229.667819124814,-8672.28934386334,Moscow_region,IT,5,58068.13191795581,1
0000000047,8727663.879508018,814830.5956360656,10789442.396164626,6455674.582102047,6571606.781871784,2680786.97380018,4333767.814062579,Novosibirsk,IT,13,316915.0301126188,0
0000000048,8899155.242830494,1596238.5599536328,13087729.183937233,3818448.3599892585,6279248.736075947,1558322.2493417964,9269280.823947974,Moscow,Trade,6,986900.2072556227,0
0000000049,40782853.47549396,7624200.889848304,36971383.76258695,20865572.159595266,23911655.525174588,12205107.236269569,16105811.602991685,SPB,Manufacturing,7,632744.4361390003,0
0000000050,4343713.058552001,-2063827.2189691649,1497815.889010576,1330407.5285775834,663781.0751227576,1190595.6023790068,167408.3604329927,SPB,Trade,1,81580.40428820874,1
0000000051,4226382.7233649725,-164487.48693183763,4635405.161308053,4206211.843989262,1307286.797971326,2197956.834684194,429193.3173187906,Ekaterinburg,Construction,6,141425.7354620933,1
0000000052,2821615.3574528745,-217424.9935277123,5378285.944709298,6049623.470916135,1474749.8346586493,4115060.6857202905,-671337.526206837,Ekaterinburg,Construction,14,57774.063507241706,1
0000000053,43971923.040220015,8855937.668289116,27141281.201544203,8345102.394615119,11037149.177166121,3750702.5659822947,18796178.80692908,Moscow_region,Manufacturing,24,783702.4721488573,0
0000000054,2804343.509994979,-536987.2370057347,5020647.382917194,4527325.7661926355,1205982.4383809667,2315786.3039336624,493321.6167245582,SPB,Services,5,127858.81475715828,1
0000000055,7250388.041545103,383610.29608259175,9979933.630487155,4350922.471001329,5166344.313309603,1876302.5819201774,5629011.159485826,Moscow,IT,4,380842.69367213536,0
0000000056,26418312.662743054,5007019.850684258,65812757.323378116,25254903.46412755,42951210.31156917,13402154.037870875,40557853.85925056,SPB,Construction,22,486178.96842634823,0
0000000057,10851974.158386452,1800667.929878864,14692574.912518077,6096028.181634372,7905130.528622514,2898233.652949501,8596546.730883704,Novosibirsk,IT,13,181885.81401693964,0
0000000058,44891026.29034758,6499876.205248753,97363893.12085482,26183872.03308095,44562159.49102237,8176191.195471456,71180021.08777387,SPB,Construction,7,377828.4964312674,0
0000000059,27661407.805766728,4339651.685834739,38448767.957452364,21442374.40934392,16864572.370315943,8556147.529824743,17006393.548108444,Moscow,Services,11,137676.05691730877,0
0000000060,399282.0032888324,-138837.2575344524,667017.4264712995,716463.3250358691,170327.1059325454,418228.1074346661,-49445.89856456965,SPB,IT,8,102059.36718629405,1
0000000061,23395468.448590823,4667259.972298918,13843286.013846008,4166479.931175444,8499845.109115941,2368902.376395058,9676806.082670564,Novosibirsk,Construction,16,762135.420408158,0
0000000062,1835318.6868863148,-516752.13149058644,877791.7857918281,938098.3664089219,223560.54452090716,680671.075818272,-60306.58061709383,SPB,IT,1,50175.121329343485,1
0000000063,17474879.781773884,2530257.5384233696,24250952.415378004,11144019.213444166,13189477.78482399,5296304.848674915,13106933.201933838,Moscow,IT,24,607499.0621198352,0
0000000064,14546907.337036861,1783690.2711377423,30763699.311131626,13176440.717487078,15591935.50481259,7852560.123031436,17587258.59364455,Ekaterinburg,Construction,7,937007.2325718808,0
0000000065,12674907.555033153,1041069.6881277866,12249253.234186444,3846731.8137069037,5536810.41554062,2188904.370614926,8402521.42047954,Ekaterinburg,IT,5,548285.8200917419,0
0000000066,4493390.288572702,-823193.0110456941,8355785.202221948,5871192.49906976,4115392.5718372567,4088108.4702196065,2484592.703152188,Moscow,Manufacturing,6,137042.2117856419,1
0000000067,2900902.178402509,-1003745.5097128013,4665050.987995857,3701820.0036004614,1386004.24007358,2480865.6492925473,963230.984395396,Novosibirsk,Trade,1,149886.96490271276,1
0000000068,1514289.7108772532,-273055.17339075555,851661.6947839352,801047.4836358491,306408.14458205644,417128.98732381046,50614.21114808612,Ekaterinburg,Manufacturing,2,96310.91472162893,1
0000000069,1679533.8403761426,-91650.57414026686,1230912.0666920184,1281073.4088188596,526914.507190503,945759.4851514552,-50161.34212684119,Moscow_region,Trade,8,125159.35740060934,1
0000000070,3755275.175188719,-1033883.3553543625,7082429.130283928,8466794.286258161,1852059.0634413797,5517737.30967199,-1384365.1559742335,Novosibirsk,Construction,1,150812.92336511123,1
0000000071,39865731.937064566,3600890.7352956496,36243525.83901161,9630133.844513442,23354328.311758168,4810821.633844859,26613391.994498167,SPB,Trade,6,350386.75318166986,0
0000000072,2314548.1463652924,-248627.95139624155,4234314.5942481235,4285341.354384659,1532543.767298789,2894738.957775418,-51026.76013653539,Moscow,Manufacturing,1,54120.412077895286,1
0000000073,4541713.34372628,-711546.1522261992,2265073.5683969636,2649945.94884151,879556.189583989,1679965.6851426833,-384872.38044454623,Ekaterinburg,Trade,4,160864.78596135625,1
0000000074,4480073.656949692,-296901.35290178936,2499196.9733748166,2138965.305546758,686146.3865172106,1705992.7763746167,360231.66782805836,SPB,Manufacturing,14,48863.47270219802,1
0000000075,37854446.94707577,2671888.2325153598,69697735.61821064,24500749.252707154,37434658.385571875,11789450.89066631,45196986.36550349,Ekaterinburg,Construction,17,807430.597490576,0
0000000076,36251502.13545678,7033056.315214222,76232163.02443942,36406908.984556735,42904782.682562396,13672240.32137376,39825254.03988269,SPB,Manufacturing,7,835458.8864186244,0
0000000077,851421.875268793,-151190.04103155842,987658.5315908471,993314.968265787,202897.7095859689,843174.9773075711,-5656.436674939934,Novosibirsk,Construction,12,29420.406202787923,1
0000000078,3565469.3081356534,-1483604.3523760743,4562696.175818712,4578015.534044463,1493093.0527633885,3637589.0272812247,-15319.358225750737,Moscow_region,Trade,8,169683.53007628035,1
0000000079,49249639.34863556,10725567.608976329,39973799.89805484,22718579.641008943,26421438.891957145,10351753.008784188,17255220.257045895,Moscow,Construction,10,627499.6741045457,0
0000000080,40241245.705601566,2049341.9604485228,53671678.12939562,19282488.41132515,30121548.40046925,11105878.102468966,34389189.71807047,Moscow_region,Manufacturing,4,492415.11620287254,0
0000000081,2976634.2982691796,-1434542.2602577838,5511756.59626649,4542311.4840037925,2057481.3392068145,2571880.9590053563,969445.1122626979,Moscow,Construction,5,183820.72120293902,1
0000000082,3198095.010805699,-1576014.9814464506,4566922.9534223145,3603384.339211721,2230124.8184957006,2015967.7476098856,963538.6142105935,Ekaterinburg,Trade,6,173520.08339923946,1
0000000083,15841877.85029624,2050946.903072645,24823783.190664195,12906202.844437907,12531445.41047691,5684789.34015732,11917580.346226288,Moscow_region,Manufacturing,19,84722.18445569013,0
0000000084,35845930.3895965,5575101.280479543,65818136.880590826,25829352.351548865,36140974.89587818,13679402.82290396,39988784.52904196,Ekaterinburg,Services,6,222831.72397050756,0
0000000085,13901861.320605911,2485651.5341587653,21156345.069299318,4446102.014020749,9453623.497723673,2288816.274804626,16710243.05527857,Moscow_region,Services,10,75741.19287830932,0
0000000086,3015740.000532061,-945135.3732623099,3824121.110916849,4373762.960783964,1403515.4517653163,3447947.729308341,-549641.8498671148,Moscow_region,IT,3,56202.71628989628,1
0000000087,791301.0590107965,-218782.2643545242,673225.5710899704,500517.9711789558,262539.2789160601,397592.3791807168,172707.5999110146,Ekaterinburg,Services,5,15041.118736025746,1
0000000088,2164980.2979032397,-19550.982114146696,3658067.7392506497,3185842.9309565015,1016310.0956423248,2076777.6152772661,472224.8082941482,Novosibirsk,Construction,7,16503.341055900535,1
0000000089,38804808.89846634,4755590.600707716,102936354.35848284,29625516.149756648,71269444.5322735,15817881.697546175,73310838.2087262,Moscow_region,Trade,19,875044.5771030171,0
0000000090,25866653.96615512,5130324.605823332,58125336.63156648,20984410.044363797,27051934.607592788,10356147.360498372,37140926.58720268,SPB,Construction,16,985182.0716683745,0
0000000091,13979212.662708763,750378.0688290638,38942549.96677948,9622720.964992581,22312326.483027413,3677963.364799508,29319829.001786895,SPB,IT,19,434985.6836263043,0
0000000092,1044293.5185947836,80804.43118366292,2871855.845038532,1578245.6998753408,1663447.630826533,757802.6557672182,1293610.145163191,Ekaterinburg,Trade,23,216602.7146922771,0
0000000093,19465357.148350123,2993451.5502040507,12018201.866910042,3203011.21051017,7468231.84279735,1040464.8816268977,8815190.656399872,Ekaterinburg,Construction,6,782436.6292587046,0
0000000094,2242247.6421504933,7920.790270130383,3423028.398839125,3440836.1341634765,1659456.9174297475,2266340.265238057,-17807.735324351583,Ekaterinburg,Trade,8,187997.65047170402,1
0000000095,27222217.555955574,2243186.284007526,70881867.50985128,38174361.1157353,48665427.13165986,13223661.382906752,32707506.394115977,Ekaterinburg,Trade,11,782366.5935585308,0
0000000096,36545343.43207837,5448847.235277532,81167426.70833263,30351011.796426088,38466916.37544885,16563478.770790702,50816414.91190654,Moscow_region,Manufacturing,7,52222.42109448935,0
0000000097,16072529.56206584,3399115.7964295237,46694667.72058649,24094701.793134794,28351511.26676464,10996585.775708066,22599965.9274517,Moscow_region,Construction,14,564805.9000094403,0
0000000098,3648106.313438379,-545474.4545754031,7175754.200462806,8264186.27685849,2827243.392986639,6423504.766421565,-1088432.076395684,SPB,Trade,9,189371.2745404565,1
0000000099,28613288.91235516,6669690.676571121,16734909.687897788,8015488.012333719,8186796.510408823,4627492.39050636,8719421.67556407,Ekaterinburg,Manufacturing,20,450674.5267439869,0
0000000100,368924.81176772714,-92109.81680278509,438333.8755149323,448097.02851994545,173163.88743890307,289416.41577645915,-9763.153005013126,SPB,Services,12,32907.70829768297,1
0000000101,1765387.322463524,-178971.92262193095,725760.9310704565,622445.3563200508,262614.6970117099,508095.4629955081,103315.57475040574,Moscow,Construction,9,150192.59571223974,1
0000000102,1241501.4262928055,-604089.2303385971,2208839.715926248,1569678.1608587175,1021390.6814488439,1116943.5075292448,639161.5550675306,Novosibirsk,Construction,3,23305.644092019495,1
0000000103,2069461.4766852865,-488534.4779419759,2828455.69332354,3215497.4891998935,1400722.086013406,2595901.237920102,-387041.7958763535,Novosibirsk,Construction,9,73910.38812740019,1
0000000104,116397.17401059819,-28282.078069959047,93688.65454020356,105531.92269656231,38849.49911486419,77633.86387614819,-11843.268156358754,Moscow,Trade,1,182964.42939093153,1
0000000105,6659659.0861943895,1606863.4523958336,16615671.642842907,5044402.608651989,9580035.80092497,2999901.966444121,11571269.03419092,Ekaterinburg,Manufacturing,16,620758.5241200881,0
0000000106,49562846.99378034,4774604.167380292,141592600.19097593,65112583.33266866,82452349.9819786,29548517.018979866,76480016.85830727,Moscow,Manufacturing,12,94598.08929042236,0
0000000107,47884878.01767462,10306795.693004139,119804335.98000114,54140917.547767594,55696701.17292548,24660002.79848098,65663418.43223354,Ekaterinburg,Services,22,995162.4315141136,0
0000000108,38032804.54735252,7195963.452841103,33649134.589829706,17710658.368226204,15725323.138676925,6502384.704342277,15938476.221603502,Novosibirsk,Construction,17,83121.90222213366,0
0000000109,43934312.70020383,4530506.699866125,36192528.97755442,20104922.049272403,24853244.953658856,11231379.177275773,16087606.928282015,Moscow,Construction,11,362598.79710137745,0
0000000110,1478815.7068298813,-533916.0567588082,456421.1439672084,478264.15748545603,97963.98623966791,341021.9568290627,-21843.013518247637,Ekaterinburg,IT,5,51834.808370464154,1
0000000111,42634742.24541405,6353826.022861251,72541583.25002548,31697996.10154172,46963732.18332138,12816855.305311725,40843587.14848376,Ekaterinburg,Construction,4,566589.9625975293,0
0000000112,2654175.5296840332,-59749.62577257957,1903005.1166511853,1481813.6218914196,472173.68967659195,938882.3734886589,421191.4947597657,SPB,IT,13,142519.5777171639,1
0000000113,3788311.533832442,-1563690.7145776679,6809415.316861101,7734963.05767007,1421630.13249385,6422546.352044467,-925547.7408089684,Ekaterinburg,Manufacturing,10,165789.91430753903,1
0000000114,4177457.4719929355,-922770.054089478,1298587.6443796277,1095383.4376691072,500057.6309823069,977601.7543069903,203204.20671052043,SPB,IT,1,32010.332788248954,1
0000000115,41024631.31474217,3105143.8262619944,49572415.627939954,10279885.738534268,26257132.18831584,5674871.637959911,39292529.88940568,Ekaterinburg,IT,17,935426.7002345166,0
0000000116,38657278.372779,9256855.552293139,35407900.91896972,18001154.35981787,21689874.567465585,7957809.307895118,17406746.55915185,Moscow_region,Manufacturing,24,639869.7418791032,0
0000000117,4870095.948969245,160142.49045544863,7667518.577835379,5865982.335945953,3277702.8580694585,2990681.7350300597,1801536.2418894265,Moscow_region,Services,11,166087.46000741379,1
0000000118,2284923.261246067,-798592.8665467273,4558677.018480631,4162485.3670410803,1529053.6999717408,2353675.3880844074,396191.65143955033,Moscow_region,IT,7,166924.94550198034,1
0000000119,3886831.622082342,-1451616.849550474,2033861.2747355616,2306453.927797515,994499.1732984412,1182105.9016956012,-272592.6530619534,Ekaterinburg,Services,13,189287.0248318438,1
0000000120,3824460.984346676,-981875.5940905011,3175520.2635884522,2732126.7203419986,1325229.7156044,2181151.852006933,443393.5432464536,Moscow,IT,3,15915.475748057159,1
0000000121,2410509.054502312,-485047.3488684915,1375720.316172917,1103122.1948506287,312769.11570418807,619362.5343504057,272598.1213222882,Novosibirsk,Services,11,170508.81334220865,1
0000000122,1541423.0693830417,2327.2701885618735,2997712.029572677,2376374.570505483,1015112.7881228846,1189358.205958561,621337.4590671938,Novosibirsk,IT,7,33785.30051848458,1
0000000123,10425973.971666668,1546369.0883712322,6886588.752567661,2980436.8348094253,3310369.587076353,1607253.4068857932,3906151.9177582357,Moscow,Construction,13,985133.8370327587,0
0000000124,19928431.0421309,2909307.146526716,39857885.81370827,12621598.666072497,24253306.92343151,7043315.5101284515,27236287.147635773,Moscow_region,Services,8,912427.7203354081,0
0000000125,12481228.28519511,3087013.627665729,10686912.644039055,4270012.174840049,6256617.957536488,2180863.8454386084,6416900.469199006,SPB,IT,12,787014.4990033082,0
0000000126,26944989.195834033,6103220.507865876,19030473.520570144,10082451.79883736,9654928.148567466,3998986.832587404,8948021.721732784,SPB,Manufacturing,8,589163.8058484802,0
0000000127,301799.1268684312,-39622.603136055535,578740.5554951263,441063.95512048,271351.9954677767,325465.79199813236,137676.6003746463,Moscow,Manufacturing,9,19874.54389377976,1
0000000128,4742017.2668920895,-740145.6107545972,7738112.139341997,7785538.974017433,2672121.28010373,5950705.801342167,-47426.83467543591,SPB,Services,4,123520.41390006672,1
0000000129,8617974.308980113,1186879.8601370298,19925328.83314273,8713574.629533647,11857329.180799915,3866942.202613815,11211754.203609085,Novosibirsk,Construction,21,258253.2879901421,0
0000000130,39590076.103552714,7195161.997593956,69104053.8738857,29171959.872211754,42551549.07913056,10750929.725683475,39932094.00167395,Novosibirsk,Manufacturing,11,518613.00444460957,0
0000000131,11417775.683655001,1526327.7708019332,11519915.6893574,6176759.482362609,5209974.041051762,3633380.9592688116,5343156.206994791,Novosibirsk,IT,22,647326.5772956478,0
0000000132,2573739.921275787,-517797.1252113255,3021037.839777919,3002999.793948823,630848.0878284962,1976592.6863985022,18038.045829095878,SPB,IT,4,175950.4152355155,1
0000000133,14202975.963135052,2392776.293910087,39497174.65016588,11227659.438570403,23180495.84573356,5495580.751415337,28269515.211595476,SPB,IT,17,274002.4892612494,0
0000000134,980447.2334641856,-362129.33406986785,1913216.9453807292,1512375.9480900918,873030.6006307583,1053991.6499927877,400840.99729063734,Ekaterinburg,Trade,14,28504.744585174914,1
0000000135,566781.3889776688,-80104.46910133256,470797.9222331577,423493.54672166856,215341.02814205762,213276.5005100956,47304.37551148911,Novosibirsk,Construction,1,156959.89388045412,1
0000000136,12116364.893946778,2747288.0082811085,19447503.958901946,6463489.670456575,10397282.676686564,3237026.284737581,12984014.28844537,Novosibirsk,Services,11,459343.14747871563,0
0000000137,1337386.1321695545,-404441.73355567723,1263708.9990296653,1267208.308856607,387983.45150662644,904032.4522738473,-3499.309826941695,Novosibirsk,IT,1,170392.38530414746,1
0000000138,2834887.223009928,-575628.9201866649,1015227.5503380734,1211518.2339285384,240498.51587960226,717766.8428965228,-196290.683590465,Moscow_region,Construction,10,17475.272727016833,1
0000000139,1649164.9143860776,-364499.83977871167,611302.3252280846,473252.8994996102,303199.2515370611,419324.5383296622,138049.4257284744,Moscow,Manufacturing,11,13302.16013524113,1
0000000140,2942549.9255077937,-1059837.2775021065,3492633.384422101,3043224.875045366,1256207.6618842504,1674676.3161450047,449408.50937673496,SPB,Manufacturing,14,68506.68890232628,1
0000000141,895671.2838453724,-355051.2658055965,1381492.4410039948,1074914.294272051,373511.88430905493,951663.2595121674,306578.1467319438,SPB,Services,2,135710.14657051789,1
0000000142,2536156.3436412937,-406251.71311998076,4507101.013384698,4440868.593030816,942507.4669429581,3874122.6259553866,66232.42035388201,Moscow,Services,14,184548.78142876583,1
0000000143,4151510.530188199,-552838.6632262578,5318977.158789044,4650311.698260018,1317969.3166363111,3450445.5705684526,668665.4605290266,Moscow,Construction,9,174623.34683025262,1
0000000144,2878379.678834672,-270144.38064903324,5162306.180273123,4656762.3662695335,1538934.8293822743,3571910.684679954,505543.81400358956,Ekaterinburg,Trade,6,181261.37342180443,1
0000000145,43510580.96425827,5444672.63451793,54047676.99851842,24841926.40228085,26943543.56054029,12149257.723904096,29205750.596237574,Moscow_region,IT,9,585266.9809810359,0
0000000146,3022778.827428566,-604169.4885920635,3190582.559093897,2256806.01956825,1200037.165529731,1280461.5307251501,933776.5395256472,Moscow,Services,14,127703.16574182676,1
0000000147,4762244.942363356,-162192.3060641596,8830164.463872438,9773960.205219198,2054562.9542661633,5469476.291071372,-943795.7413467597,Novosibirsk,Services,5,56753.235171619664,1
0000000148,4083630.119708858,-428913.096799358,7858498.122237728,5572589.043929275,2033255.904308435,2803152.439662158,2285909.078308453,Moscow,IT,5,180625.80430049752,1
0000000149,395310.2124188482,5510.551127147715,354893.13033843075,266421.9688818312,122708.39093588875,160575.35193484224,88471.16145659954,Ekaterinburg,IT,4,137318.24657607893,1
0000000150,1625407.7258644179,-267081.1772199145,2466484.9436604893,2062750.957107216,799300.7784450786,1131943.7408291472,403733.9865532734,Novosibirsk,Manufacturing,11,33412.304292711546,1
0000000151,1004467.1347314616,-339105.03194888786,1656157.716373174,1312694.161981876,787214.4032731941,879256.9500535227,343463.554391298,Moscow,IT,6,163138.58445728003,1
0000000152,31840993.091904107,7650775.103958534,63810291.06917003,33671130.03809196,42450557.965119004,12405250.109532846,30139161.03107807,SPB,Trade,11,664275.6177517171,0
0000000153,4510113.304650255,-1378372.8966075592,3169166.1925633587,3455223.8724663225,895105.0377241271,2864538.5886975923,-286057.6799029638,Moscow,Manufacturing,12,137570.68721081674,1
0000000154,833549.4429890929,-222416.2920304475,466848.08824063255,381703.30329392967,215113.27583406062,263053.42180030287,85144.78494670289,Ekaterinburg,Services,5,28185.76554883073,1
0000000155,2778817.322298943,-1034912.4264502658,2680280.9964713813,2672878.509555692,935498.6307373801,2392531.5303909103,7402.486915689427,SPB,Services,3,123438.91421018142,1
0000000156,22566650.271572836,4398316.193853386,12175897.747757317,4096410.453862724,7860907.122958253,1970233.4255501064,8079487.293894594,Ekaterinburg,IT,8,599467.5711560886,0
0000000157,44762448.29587386,3955812.6552717667,58568481.22181684,17023664.73941773,29664870.830306385,5461653.888974785,41544816.482399106,Novosibirsk,Construction,19,840269.957588851,0
0000000158,32188327.07949422,3354972.8285415787,63798229.24971403,30116130.994178288,29937239.758037593,13162483.736765474,33682098.255535744,Novosibirsk,Manufacturing,24,686012.6074382806,0
0000000159,49776284.289860725,6932366.519825355,66397773.957352884,28696454.10501724,28327296.793566413,16887855.22836365,37701319.85233565,SPB,Trade,17,240887.00422610366,0
0000000160,106059.73082110626,-35480.245581801486,208736.3509955516,195678.48781107526,65701.41216852113,107218.42706982695,13057.86318447633,Ekaterinburg,IT,3,38959.04253277931,1
